Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
act2_0414f261		Believe it or not, Finn's living space was in surprisingly good shape for a struggling college student.	game/act_2.rpy	8	"[what]"
act2_4ab7f0d1		Really nice place. Not a single cup, can or bottle in sight.	game/act_2.rpy	9	"[what]"
act2_aa16c3c9		Well, in the common area, at least. Who knew what things were hiding on the other side of the door?	game/act_2.rpy	10	"[what]"
act2_98ed9155		All three of us were hoping we'd be able to find out. As long as Finn was all ears, of course.	game/act_2.rpy	11	"[what]"
act2_92ac935f	ter	Guys, what if he's just ignoring us?	game/act_2.rpy	13	ter "[what]"
act2_a3d032be	morg	You simply keep knocking until he can't ignore it anymore.	game/act_2.rpy	14	morg "[what]"
act2_9b90486e	ter	Believe me, you give that man a thick textbook and a pair of headphones and he could miss the end of the world.	game/act_2.rpy	16	ter "[what]"
act2_c7206a5b	ter	Love that guy, personally, but I wouldn't put it past him.	game/act_2.rpy	17	ter "[what]"
act2_1cfa64eb	ter	Unless, maybe...	game/act_2.rpy	18	ter "[what]"
act2_3eea335d	ter	PIZZA'S HERE, DUDE!	game/act_2.rpy	20	ter "[what]"
act2_e02dffd5	fin	I did inform you I would be occupied.	game/act_2.rpy	25	fin "[what]"
act2_aa49098e	ter	Good to see you too, Finn!	game/act_2.rpy	26	ter playful "[what]"
act2_d252d015	ter	What are we studyin' today? A dash of Chem? Some Bio? A bit of both?	game/act_2.rpy	27	ter "[what]"
act2_468def39	fin	Well, you see, I {i}could{/i} be, however...	game/act_2.rpy	28	fin inthought "[what]"
act2_f8acf08d	ter	Hey, don't give me that pointer finger!	game/act_2.rpy	29	ter aha "[what]"
act2_c5108437	fin	I apologize.	game/act_2.rpy	30	fin default "[what]"
act2_d15cbbc0	fin	I really doubt any of you could comprehend the sheer magnitude of work I’m doing right now.	game/act_2.rpy	31	fin "[what]"
act2_693e70b0	fin	Examinations and such, if you remember how those felt.	game/act_2.rpy	32	fin tense "[what]"
act2_bf2383a6	ter	Oh, c'mon, Finn, is there anything you don't know at this point?	game/act_2.rpy	33	ter happy "[what]"
act2_865c0a2b	ter	Just remember that the mitochondria is the powerhouse of the cell and then you're golden!	game/act_2.rpy	34	ter hurt "[what]"
act2_5a782f5a	fin	Actually, the mitochondria produces ATP as a means of storing chemical potential—	game/act_2.rpy	35	fin "[what]"
act2_394e4073	ter	SEE?! That's exactly my point! You're good! You're done for the day!	game/act_2.rpy	36	ter playful "[what]"
act2_63318726	morg	Terr's right. Live a little.	game/act_2.rpy	40	morg "[what]"
act2_57180f07	fin	Morgan.	game/act_2.rpy	42	fin default "[what]"
act2_70e9b028	fin	You're looking... spirited.	game/act_2.rpy	43	fin "[what]"
act2_62c85c9f	morg	Likewise.	game/act_2.rpy	44	morg default "[what]"
act2_17542ca0		Awkward silence fills the room.	game/act_2.rpy	45	"[what]"
act2_c4d88b3c	fin	I truly do require maximum focus.	game/act_2.rpy	46	fin inthought "[what]"
act2_687ca51a	fin	My major examination is mere days away, and I can't afford to waste even a second outside of my allotted breaks.	game/act_2.rpy	47	fin tense "[what]"
act2_be4556cf	morg	Your breaks of... what, ten minutes each, I'm guessing?	game/act_2.rpy	48	morg sad "[what]"
act2_f8a2208f	ter	Yeah, that's gonna fry your brain no matter how ya look at it! You need some'a that crisp winter air in your lungs.	game/act_2.rpy	49	ter inthought "[what]"
act2_2818b72e	ter	Which you definitely shoulda known, mister doctor.	game/act_2.rpy	50	ter "[what]"
coldshoulder_d6b1c6e1	fin	Not during work hours, as has been the case since high school, anyway!	game/act_2.rpy	61	fin default "[what]"
coldshoulder_27f2d71f	fin	If you all are so desperate for my company, try waiting several hours!	game/act_2.rpy	62	fin upset "[what]"
studydate_3f38b347	fin	Would you {i}really?{/i} On the one day you all have the time for each other?	game/act_2.rpy	64	fin tense "[what]"
studydate_b1f97f26	ter	And for you, Finn. That always includes you.	game/act_2.rpy	65	ter default "[what]"
sick_8f1bb5a3	fin	But I'm not ailing currently, am I? I wouldn't take offense from you trying to get by.	game/act_2.rpy	67	fin inthought "[what]"
sick_6b9b4cab	morg	Density is not a good look on you, Finn.	game/act_2.rpy	68	morg playful "[what]"
finnlament_371d9209	fin	...Even with everything said and done, it's far from that simple, I fear.	game/act_2.rpy	72	fin inthought "[what]"
finnlament_0a524c09	fin	Morgan. Think back to your initial diagnosis.	game/act_2.rpy	73	fin tense "[what]"
finnlament_6f85d543	fin	How rare did they tell you it was to encounter a tumor of the heart?	game/act_2.rpy	74	fin "[what]"
finnlament_001e30fa	morg	Unfathomably rare.	game/act_2.rpy	76	morg sad "[what]"
finnlament_c4879116	fin	Nearly a thousandth of a percent. A {i}thousandth.{/i} It's totally not fair.	game/act_2.rpy	77	fin "[what]"
finnlament_c4599a17	morg	As I've come to accept these past few months, yes.	game/act_2.rpy	78	morg "[what]"
finnlament_72310eaa	fin	But {i}I{/i} can't accept it!	game/act_2.rpy	79	fin upset "[what]"
finnlament_e8495b28	fin	If you hold on and your condition stays stable for a while longer, and I remain on track with my studies... I can aid you.	game/act_2.rpy	80	fin melancholy "[what]"
finnlament_0d42b2cb	fin	And if not you, then whomever else in need!	game/act_2.rpy	81	fin inthought "[what]"
finnlament_ad1ba5ca	morg	I've held on long enough, Finn.	game/act_2.rpy	82	morg "[what]"
finnlament_57e8879d	morg	Today, the best cure you can give me is a day of your time.	game/act_2.rpy	83	morg "[what]"
finnlament_a788e864	fin	After which I shall still need to study... and you will still remain sickly.	game/act_2.rpy	84	fin tense "[what]"
finnlament_52190986	ter	Oh, for God's sake, Finn, this girl stood up for the first time in months to come say hi to us!	game/act_2.rpy	85	ter tense "[what]"
finnlament_ac0634b0	ter	You should have seen it! Or is it gonna take more to convince you, huh?	game/act_2.rpy	86	ter "[what]"
minigame1success_7f0da074	fin	Alright, I yield.	game/act_2.rpy	210	fin melancholy "[what]"
minigame1success_0781e3fa	fin	How opportune is this line-up of friends outside my door, indeed?	game/act_2.rpy	212	fin "[what]"
minigame1success_c5f9850a	fin	Once more, I apologize. To you especially, Morgan.	game/act_2.rpy	213	fin inthought "[what]"
minigame1success_e14f5591	fin	It's good to see you again.	game/act_2.rpy	214	fin happy "[what]"
minigame1success_00228eba	morg	Likewise. Don't sweat it, mister doctor.	game/act_2.rpy	215	morg playful "[what]"
minigame1success_111f5a73	ter	D'aww, it's enough to grow my heart three sizes!	game/act_2.rpy	216	ter playful "[what]"
minigame1success_aa8cb576	fin	So. Now that the doctor is metaphorically “in,” I suppose it's time to recount the grand agenda.	game/act_2.rpy	217	fin playful "[what]"
minigame1success_e18b2450	fin	Which we can find on Morgan's, uh...	game/act_2.rpy	218	fin inthought "[what]"
minigame1success_4688e607	morg	My bucket list! Congratulations on being the first item of order, by the way.	game/act_2.rpy	219	morg happy "[what]"
minigame1success_86212c5c	fin	Hooray?	game/act_2.rpy	220	fin happy "[what]"
minigame1success_d3990fa5	morg	Of course hooray. Now, you were awfully quick to open the door at the promise of pizza.	game/act_2.rpy	221	morg inthought "[what]"
minigame1success_cf8e2108	fin	A lot of time has passed since my last meal. Why do you ask?	game/act_2.rpy	222	fin default "[what]"
minigame1success_92bc020d	ter	Well, we all know how being hangry can—	game/act_2.rpy	223	ter happy "[what]"
minigame1success_12a9d4d8		Finn's stomach audibly growls.	game/act_2.rpy	224	"[what]"
minigame1success_125e1be6	fin	Ah.	game/act_2.rpy	225	fin tense "[what]"
minigame1success_f64e9fe9	ter	We can do you one better than pizza, though. Remember Miya's?	game/act_2.rpy	226	ter "[what]"
minigame1success_3d89fec4	fin	The petite little sushi establishment. Of course...	game/act_2.rpy	227	fin melancholy "[what]"
minigame1success_82064308	fin	That'll do. That'll do nicely.	game/act_2.rpy	228	fin happy "[what]"
minigame1success_f5df17ca	fin	The holidays have definitely imbued you with nostalgic joy, eh, Morgan?	game/act_2.rpy	229	fin playful "[what]"
minigame1success_2a2a64ad		Morgan's smile turns Knowingly Melancholic.	game/act_2.rpy	230	"[what]"
minigame1success_382bc1b8	morg	What can I say, it's a time for family...	game/act_2.rpy	231	morg sad "[what]"
minigame1success_2f07a12d	ter	Couldn't have said it better myself, guys!	game/act_2.rpy	232	ter playful "[what]"
minigame1success_677c5e2c	ter	What are we waiting for, then?! Item Two: Eat a Meal Worth Dying For!	game/act_2.rpy	233	ter "[what]"
minigame1success_aea46bcc	ter	Miya's here we come!	game/act_2.rpy	234	ter "[what]"
minigame1success_0d3fdc43	fin	By the way, Morgan, about your sudden need to come and visit...	game/act_2.rpy	236	fin inthought "[what]"
minigame1success_89e24b87	fin	Mina didn't put you up to this, did she?	game/act_2.rpy	238	fin "[what]"
minigame1success_7c094084	fin	Hm. Logically, out of everybody in the world, I cannot guess anyone important enough.	game/act_2.rpy	243	fin inthought "[what]"
minigame1success_ecfe70d9	fin	Besides your parents, that is, Morgan. Do I know this mystery person?	game/act_2.rpy	245	fin playful "[what]"
minigame1success_bfd53d01	morg	I’d hope not.	game/act_2.rpy	247	morg tense "[what]"
minigame1success_5a5f8934	fin	Perhaps I do. Despite her gallivanting across North America for the past few months...	game/act_2.rpy	257	fin happy "[what]"
minigame1success_9043cc2b	fin	I would have welcomed an appearance from her alongside you three.	game/act_2.rpy	259	fin melancholy "[what]"
minigame1success_0916c624	morg	Who knows? The day is still young... ish.	game/act_2.rpy	261	morg happy "[what]"
minigame1success_7bb3e6bc	fin	My sister, genius! Yea high, possesses a beguiling level of candor?	game/act_2.rpy	270	fin playful "[what]"
minigame1success_0df8a5e5	morg	A smile from Finn? That should have been on the bucket list.	game/act_2.rpy	272	morg playful "[what]"
minigame1success_0ce67ef9	fin	Savor it. You too, my friend; such compliments about her are secrets you take to your grave.	game/act_2.rpy	274	fin happy "[what]"
minigame1failure_d67dde62	fin	We're going round in circles here.	game/act_2.rpy	283	fin inthought "[what]"
minigame1failure_90436c6f	fin	You want me to engage in a day of folly, but I want to hold tight for the better part of a week to secure my entire future.	game/act_2.rpy	284	fin tense "[what]"
minigame1failure_eb254531	fin	Are there any other observations you have yet to make clear to me yet?	game/act_2.rpy	285	fin default "[what]"
minigame1failure_cc89c034	ter	How about we just care a lot and wanna see you outside your room for a change?!	game/act_2.rpy	286	ter tense "[what]"
minigame1failure_0ab476aa	fin	You're doing it again...	game/act_2.rpy	287	fin upset "[what]"
minigame1failure_bbdb9e25	ter	Alright, fine, then it's because you stink of old books and party pooping and freshening up would do miracles for you!	game/act_2.rpy	288	ter smilehurt "[what]"
minigame1failure_d28d1138	fin	Oh, don't be so puerile.	game/act_2.rpy	289	fin inthought "[what]"
minigame1failure_5d120dda	ter	Finn—	game/act_2.rpy	290	ter "[what]"
minigame1failure_5e411563	ter	Okay. Okay.	game/act_2.rpy	291	ter embarrassed "[what]"
minigame1failure_b26ddba4	morg	If you won't listen to us then just make a decision yourself.	game/act_2.rpy	292	morg default "[what]"
minigame1failure_1754931e	morg	Finn, are you coming with us or not?	game/act_2.rpy	293	morg tense "[what]"
minigame1failure_c562ae39	fin	I want...	game/act_2.rpy	295	fin inthought "[what]"
minigame1failure_a699edf7	morg	Yes?	game/act_2.rpy	296	morg "[what]"
minigame1failure_1033494e	fin	...for you to get back in contact with me in a few days' time.	game/act_2.rpy	297	fin default "[what]"
minigame1failure_53956f7e		Terrie groans, and Morgan's face SINKS.	game/act_2.rpy	298	"[what]"
minigame1failure_b80d62fa	fin	I believe that compromise will satisfy both worlds.	game/act_2.rpy	299	fin melancholy "[what]"
minigame1failure_6bf9ad7f	fin	Now, it's been lovely to see you all again, and I really mean that, but I don't want to imagine what a failure at this level could mean.	game/act_2.rpy	300	fin inthought "[what]"
minigame1failure_6193bf4a	fin	I look forward to the next few days.	game/act_2.rpy	301	fin "[what]"
minigame1failure_8d4f513c	fin	Bye-bye, all.	game/act_2.rpy	302	fin "[what]"
minigame1failure_fd7b57dd	ter	But Finn, we don't HAVE—	game/act_2.rpy	308	ter c-day grief "[what]"
minigame1failure_f4a1d2e6	morg	No...	game/act_2.rpy	310	morg c-day sad "[what]"
minigame1failure_a323b1a6	ter	Man.	game/act_2.rpy	311	ter c-day melancholy "[what]"
minigame1failure_98def81e	ter	Was this guy always such a jerk, or does Med school just do that to you?	game/act_2.rpy	312	ter "[what]"
minigame1failure_dc56134b	ter	I swear, I'll bust down that door n' carry him out myself if it means you—	game/act_2.rpy	313	ter "[what]"
minigame1failure_0b992cee	morg	Please don't.	game/act_2.rpy	314	morg default "[what]"
minigame1failure_042a70ce	morg	We can't afford to lose any friendships anymore.	game/act_2.rpy	315	morg "[what]"
minigame1failure_80f867c2	morg	Let's just try to enjoy our day.	game/act_2.rpy	316	morg "[what]"
minigame1failure_9aaec0d1	ter	Alright, I gotchu.	game/act_2.rpy	317	ter melancholy "[what]"
minigame1failure_912ec528	ter	Y'know what cures hangriness? Sushi. At Miya's. Made to order, just for you.	game/act_2.rpy	318	ter happy "[what]"
minigame1failure_3d6c3ed0		Morgan smiles weakly.	game/act_2.rpy	319	"[what]"
minigame1failure_eeb0427d	ter	Okay girl, okay! I see that smile!	game/act_2.rpy	321	ter playful "[what]"
minigame1failure_68b0713e	morg	It's on the list, so... why not?	game/act_2.rpy	322	morg "[what]"
minigame1failure_78baa394	ter	Exactly! Exactly why not?! Item Two: Eating A Meal Worth... well, worth every bite.	game/act_2.rpy	323	ter happy "[what]"
minigame1failure_c5c62bb9	ter	We'll get you double servings, okay?	game/act_2.rpy	324	ter "[what]"
minigame1failure_2a92ba88	morg	Okay.	game/act_2.rpy	325	morg "[what]"
minigame1failure_0dd27970	morg	With extra avocado?	game/act_2.rpy	326	morg "[what]"
minigame1failure_d2790ec1	ter	The whole orchard, dude. C'mon.	game/act_2.rpy	327	ter default "[what]"
minigame1failure_2145a4e9		So it was just the three of us for the day.	game/act_2.rpy	330	"[what]"
minigame1failure_ef6ae919		Finn not being there left a foul taste in my mouth, of course. I think it did for everyone.	game/act_2.rpy	331	"[what]"
minigame1failure_afb1ec35		But, we hoped, we could wash down the bitter pill with a delicious, fresh banquet of sushi.	game/act_2.rpy	332	"[what]"
start_173b00ce		We always loved going to see the fireworks.	game/script.rpy	18	"[what]"
start_205fce59		It was the one tradition we could always count on.	game/script.rpy	19	"[what]"
start_df55f910		Just the five of us, watching time march on and the sky burst with colour... I could always count on them to join me.	game/script.rpy	20	"[what]"
start_8a0d25fd		Practical, plucky, passionate Terrie...	game/script.rpy	22	"[what]"
start_9941865b		Silver-tongued, savvy, sociable Mina...	game/script.rpy	28	"[what]"
start_2ea234f7		Wise, wild workaholic Finn...	game/script.rpy	33	"[what]"
start_e1a20e4e		And, of course, Morgan.	game/script.rpy	36	"[what]"
start_6ce56430		The five of us as a group ran like a clock, but life, as always...	game/script.rpy	38	"[what]"
start_c51b44c2		It mutated beyond our control and spread all of us thin.	game/script.rpy	45	"[what]"
start_4de86f04		Mina made it big online and flew out to LA for all the brand deals you could dream of.	game/script.rpy	46	"[what]"
start_63e5e349		Finn got swallowed whole by the mire of academia, studying for a degree with all the energy he could possibly muster.	game/script.rpy	47	"[what]"
start_764abfb3		And Morgan?	game/script.rpy	48	"[what]"
start_c8930609		They all said it was the most aggressive case they'd ever seen in their years of practicing medicine.	game/script.rpy	52	"[what]"
start_ff233d58		It was so deep in her system they couldn't even pin down what kind of cancer it was to start with.	game/script.rpy	53	"[what]"
start_70d576b4		Being bound to a bed with two of her friends basically vanishing off the radar, I thought she'd never smile again...	game/script.rpy	54	"[what]"
start_3765a991		But I'd make sure it would happen. I promised myself.	game/script.rpy	55	"[what]"
start_a7baaf43		So, on a chilly January 7th, I went to Nigh Hill Medical Clinic once more for Morgan.	game/script.rpy	56	"[what]"
start_86d44b08		Well, not before inviting the only constant presence in our lives, too...	game/script.rpy	57	"[what]"
start_0e461d38		Nobody quite like good ol'...	game/script.rpy	58	"[what]"
start_aa126bc9	ter	You made it! Good, I wouldn't miss this for the world.	game/script.rpy	62	ter c-day playful "[what]"
start_bf68146b	ter	How long's it been since Morgan last gave us a call... like, what, two, three weeks? God.	game/script.rpy	63	ter c-day tense "[what]"
start_2ed36bdf	ter	Treatment must be rough for a gap of silence that wide.	game/script.rpy	64	ter "[what]"
start_a2078be9	ter	Hmmm...	game/script.rpy	65	ter "[what]"
start_a1659987	ter	No time like the present though, right? She's waitin'!	game/script.rpy	66	ter c-day smile "[what]"
start_d835ea40	ter	C'mon, Nigh Hill's just that way.	game/script.rpy	67	ter "[what]"
start_92ae1a02		As far as we knew, Morgan rarely got visitors aside from me and Terrie.	game/script.rpy	70	"[what]"
start_febb7127		So imagine seeing that, on today of all days, somebody else had beaten us to the punch.	game/script.rpy	71	"[what]"
start_fafa812b	mortis	You... you have a gift.	game/script.rpy	83	mortis "[what]"
start_2d6a2bea	mortis	A gift seldom experienced to the fullest, and even more seldom stripped away so prematurely.	game/script.rpy	84	mortis "[what]"
start_9c49f782	ter	Crap, did we double book our visiting slot?	game/script.rpy	86	ter "[what]"
start_d777575c	mortis	For you... this will not do.	game/script.rpy	87	mortis "[what]"
start_31dd3cb3	mortis	I shall visit here again tomorrow, at dawn's break.	game/script.rpy	88	mortis "[what]"
start_4e07579a	mortis	You are to recount to me all that you got up to this coming day. Promise to me that you will return promptly.	game/script.rpy	89	mortis "[what]"
start_7ec01e5b	mortis	...yes, and what of your constitution, indeed?	game/script.rpy	90	mortis "[what]"
start_a6dbe7d8	mortis	You will find that much of what you miss will come to you in very due time.	game/script.rpy	91	mortis "[what]"
start_826f1ab5	mortis	I leave you to your devices now. To your good health, Morgan. Do not be late.	game/script.rpy	92	mortis "[what]"
start_15e7ff8e	ter	...are you getting any of that? I sure ca— 	game/script.rpy	96	ter "[what]"
start_9d85077c	ter	...huh?	game/script.rpy	97	ter "[what]"
start_328ab95c	mortis	Your friend awaits you.	game/script.rpy	99	mortis "[what]"
start_5917b55d	mortis	Hurry along, now. Live a little.	game/script.rpy	100	mortis "[what]"
start_9fe701b8	ter	I...	game/script.rpy	111	ter "[what]"
start_2b1fc8d9	ter	I'm going in. You're coming with, yeah?	game/script.rpy	112	ter hospital tense "[what]"
start_33473967	ter	Heyyy, Morgan? It's Terrie. It's us. How're you holding up?	game/script.rpy	113	ter hospital happy "[what]"
start_414c6cbf		She breathes heavily with a noticeable wheeze and coughs.	game/script.rpy	115	"[what]"
start_92da7f0c		As she breathes more, the wheezing fades... and then disappears altogether.	game/script.rpy	116	"[what]"
start_2319009f	morg	Never better?	game/script.rpy	123	morg hospital inthought "[what]"
start_dfd022bc	ter	Morgan, oh my {i}God{/i}, you're glowing!	game/script.rpy	126	ter hospital aha "[what]"
